requirement	pinned_exact_version	has_local_reference	status
absl-py==2.2.2	True	False	pass
aiohappyeyeballs==2.6.1	True	False	pass
aiohttp==3.11.18	True	False	pass
aiosignal==1.3.2	True	False	pass
altgraph==0.17.4	True	False	pass
anndata==0.11.4	True	False	pass
annoy==1.17.3	True	False	pass
arboreto==0.1.6	True	False	pass
array-api-compat==1.12.0	True	False	pass
asciitree==0.3.3	True	False	pass
attrs==25.3.0	True	False	pass
autograd==1.8.0	True	False	pass
autograd-gamma==0.5.0	True	False	pass
black==26.3.1	True	False	pass
bokeh==3.7.3	True	False	pass
boltons==25.0.0	True	False	pass
cellrank==2.0.7	True	False	pass
certifi==2025.4.26	True	False	pass
cffi==1.17.1	True	False	pass
charset-normalizer==3.4.2	True	False	pass
chex==0.1.89	True	False	pass
click==8.2.1	True	False	pass
cloudpickle==3.1.1	True	False	pass
colorama==0.4.6	True	False	pass
contourpy==1.3.2	True	False	pass
ctxcore==0.2.0	True	False	pass
cupy-cuda11x==13.4.1	True	False	pass
cycler==0.12.1	True	False	pass
Cython==3.2.4	True	False	pass
cytoolz==1.0.1	True	False	pass
dask==2025.5.1	True	False	pass
Deprecated==1.3.1	True	False	pass
dill==0.4.0	True	False	pass
distributed==2025.5.1	True	False	pass
docrep==0.3.2	True	False	pass
et_xmlfile==2.0.0	True	False	pass
etils==1.12.2	True	False	pass
fasteners==0.20	True	False	pass
fastrlock==0.8.3	True	False	pass
filelock==3.13.1	True	False	pass
flax==0.10.6	True	False	pass
fonttools==4.58.0	True	False	pass
formulaic==1.2.1	True	False	pass
frozendict==2.4.6	True	False	pass
frozenlist==1.6.0	True	False	pass
fsspec==2024.6.1	True	False	pass
GEOparse==2.0.4	True	False	pass
grpcio==1.71.0	True	False	pass
h11==0.16.0	True	False	pass
h5py==3.13.0	True	False	pass
humanize==4.12.3	True	False	pass
idna==3.10	True	False	pass
igraph==1.0.0	True	False	pass
imageio==2.37.0	True	False	pass
importlib_metadata==8.7.0	True	False	pass
importlib_resources==6.5.2	True	False	pass
iniconfig==2.3.0	True	False	pass
interface_meta==2.0.0	True	False	pass
interlap==0.2.7	True	False	pass
ipywidgets==8.1.7	True	False	pass
jax==0.6.1	True	False	pass
jaxlib==0.6.1	True	False	pass
jaxopt==0.8.5	True	False	pass
Jinja2==3.0.3	True	False	pass
joblib==1.5.0	True	False	pass
jupyterlab_widgets==3.0.15	True	False	pass
keyboard==0.13.5	True	False	pass
kiwisolver==1.4.8	True	False	pass
lazy_loader==0.4	True	False	pass
legacy-api-wrap==1.4.1	True	False	pass
leidenalg==0.11.0	True	False	pass
lifelines==0.30.3	True	False	pass
lightning==2.5.1.post0	True	False	pass
lightning-utilities==0.14.3	True	False	pass
llvmlite==0.44.0	True	False	pass
locket==1.0.0	True	False	pass
loompy==3.0.8	True	False	pass
lxml==6.1.0	True	False	pass
lz4==4.4.4	True	False	pass
Markdown==3.8	True	False	pass
markdown-it-py==3.0.0	True	False	pass
MarkupSafe==2.1.5	True	False	pass
matplotlib==3.10.3	True	False	pass
mdurl==0.1.2	True	False	pass
mellon==1.6.1	True	False	pass
ml_collections==1.1.0	True	False	pass
ml_dtypes==0.5.1	True	False	pass
mpmath==1.3.0	True	False	pass
msgpack==1.1.0	True	False	pass
mudata==0.3.1	True	False	pass
multidict==6.4.4	True	False	pass
multipledispatch==1.0.0	True	False	pass
multiprocessing_on_dill==3.5.0a4	True	False	pass
mypy_extensions==1.1.0	True	False	pass
narwhals==2.20.0	True	False	pass
natsort==8.4.0	True	False	pass
networkx==3.4.2	True	False	pass
numba==0.61.2	True	False	pass
numcodecs==0.15.1	True	False	pass
numexpr==2.10.2	True	False	pass
numpy==1.26.4	True	False	pass
numpy-groupies==0.11.3	True	False	pass
numpyro==0.18.0	True	False	pass
openpyxl==3.1.5	True	False	pass
opt_einsum==3.4.0	True	False	pass
optax==0.2.4	True	False	pass
orbax-checkpoint==0.11.13	True	False	pass
outcome==1.3.0.post0	True	False	pass
packaging==24.2	True	False	pass
palantir==1.4.1	True	False	pass
pandas==2.2.0	True	False	pass
partd==1.4.2	True	False	pass
pathspec==1.1.1	True	False	pass
patsy==1.0.1	True	False	pass
pefile==2023.2.7	True	False	pass
pillow==11.2.1	True	False	pass
